,real,target,preds,lower,upper
05-03-29,14700.0,14700.0,11859.13427734375,10000.183456596196,13718.085098091304
05-03-30,14800.0,14800.0,11840.072265625,9951.180549744442,13728.963981505558
05-03-31,15200.0,15200.0,11933.10791015625,10049.790673521564,13816.425146790936
05-04-01,15050.0,15050.0,12057.99951171875,10219.698261932808,13896.300761504692
05-04-04,15300.0,15300.0,12097.90625,10291.18634478423,13904.62615521577
05-04-06,15100.0,15100.0,12072.64404296875,10256.570493829659,13888.717592107841
05-04-07,14700.0,14700.0,12081.03076171875,10246.80074127845,13915.26078215905
05-04-08,14750.0,14750.0,12170.79736328125,10349.4381358703,13992.1565906922
05-04-11,14800.0,14800.0,12286.49560546875,10508.218467660514,14064.772743276986
05-04-12,14750.0,14750.0,12318.35693359375,10542.13370668964,14094.58016049786
05-04-13,14850.0,14850.0,12339.46484375,10539.034582496297,14139.895105003703
05-04-14,14350.0,14350.0,12442.24267578125,10637.101205473155,14247.384146089345
05-04-15,14400.0,14400.0,12557.48681640625,10798.989676363697,14315.983956448803
05-04-18,14050.0,14050.0,12621.201171875,10874.868054470104,14367.534289279896
05-04-19,13700.0,13700.0,12686.67529296875,10918.200391479524,14455.150194457976
05-04-20,13900.0,13900.0,12839.064453125,11066.384309536945,14611.744596713055
05-04-21,13800.0,13800.0,13111.35302734375,11379.533425529386,14843.172629158114
05-04-22,14000.0,14000.0,13365.048828125,11723.70425992998,15006.39339632002
05-04-25,14150.0,14150.0,13473.37060546875,11876.410512991453,15070.330697946047
05-04-26,14100.0,14100.0,13476.455078125,11870.632044584969,15082.278111665031
05-04-27,13700.0,13700.0,13507.20947265625,11887.579207356954,15126.839737955546
05-04-28,13800.0,13800.0,13677.90625,12070.670884755204,15285.141615244796
05-04-29,13950.0,13950.0,13900.0810546875,12359.007653806419,15441.154455568581
05-05-02,14050.0,14050.0,13996.86376953125,12496.424530463684,15497.303008598816
05-05-03,14100.0,14100.0,13942.25830078125,12436.837057954268,15447.679543608232
05-05-04,14000.0,14000.0,13870.00244140625,12338.663532426306,15401.341350386194
05-05-06,14100.0,14100.0,13892.384765625,12359.595402756933,15425.174128493067
05-05-09,13500.0,13500.0,13981.01123046875,12482.748765777205,15479.273695160295
05-05-10,13750.0,13750.0,13996.38623046875,12508.542089813569,15484.230371123931
05-05-11,13550.0,13550.0,13956.79150390625,12442.572934572443,15471.010073240057
05-05-12,13450.0,13450.0,13972.58447265625,12438.427817285761,15506.741128026739
05-05-13,13600.0,13600.0,14103.87744140625,12567.964699037711,15639.790183774789
05-05-16,14000.0,14000.0,14236.70751953125,12759.798617676071,15713.616421386429
05-05-17,14250.0,14250.0,14285.220703125,12820.675276790438,15749.766129459562
05-05-18,14450.0,14450.0,14309.44775390625,12833.610326319085,15785.285181493415
05-05-19,14800.0,14800.0,14364.53564453125,12902.115026058278,15826.956263004222
05-05-20,14550.0,14550.0,14367.380859375,12941.699704308343,15793.062014441657
05-05-23,14500.0,14500.0,14228.46142578125,12785.401554262815,15671.521297299685
05-05-24,14400.0,14400.0,14048.46630859375,12544.463439973399,15552.469177214101
05-05-25,14400.0,14400.0,13933.3974609375,12393.183629352134,15473.611292522866
05-05-26,14700.0,14700.0,13937.85107421875,12396.52417375977,15479.17797467773
05-05-27,14600.0,14600.0,13897.61376953125,12400.55214570307,15394.67539335943
05-05-30,14500.0,14500.0,13702.2333984375,12188.147140362977,15216.319656512023
05-05-31,14500.0,14500.0,13435.21044921875,11853.893614592651,15016.527283844849
05-06-01,14700.0,14700.0,13239.44677734375,11601.11454623665,14877.77900845085
05-06-02,14400.0,14400.0,13214.24853515625,11551.772617992274,14876.724452320226
05-06-03,14350.0,14350.0,13288.88134765625,11656.606454345016,14921.156240967484
05-06-07,14200.0,14200.0,13300.859375,11684.912473547038,14916.806276452962
05-06-08,14500.0,14500.0,13225.79931640625,11593.201997940301,14858.396634872199
05-06-09,14800.0,14800.0,13171.80322265625,11511.322878309684,14832.283567002816
05-06-10,14700.0,14700.0,13199.962890625,11544.556899863559,14855.368881386441
05-06-13,14700.0,14700.0,13229.5146484375,11597.82896218303,14861.20033469197
05-06-14,14750.0,14750.0,13192.40478515625,11548.09953232924,14836.71003798326
05-06-15,14800.0,14800.0,13141.107421875,11464.823153416111,14817.391690333889
05-06-16,14900.0,14900.0,13161.1904296875,11467.355818604345,14855.025040770655
05-06-17,15050.0,15050.0,13153.72705078125,11503.179707412535,14804.274394149965
05-06-20,15000.0,15000.0,13041.98193359375,11386.881503874558,14697.082363312942
05-06-21,14950.0,14950.0,12883.31005859375,11182.194368492446,14584.425748695054
05-06-22,15000.0,15000.0,12785.8486328125,11045.484597107989,14526.212668517011
05-06-23,14750.0,14750.0,12790.505859375,11046.122524727874,14534.889194022126
05-06-24,14400.0,14400.0,12838.86474609375,11121.996367200074,14555.733124987426
05-06-27,14450.0,14450.0,12865.8642578125,11146.3389094297,14585.3896061953
05-06-28,14500.0,14500.0,12898.92236328125,11158.635210124685,14639.209516437815
05-06-29,14850.0,14850.0,13019.771484375,11272.641151595773,14766.901817154227
05-06-30,14800.0,14800.0,13250.22607421875,11541.380204031515,14959.071944405985
05-07-01,15050.0,15050.0,13482.4697265625,11857.77123077809,15107.16822234691
05-07-04,15600.0,15600.0,13573.341796875,11990.766924110436,15155.916669639564
05-07-05,15300.0,15300.0,13548.0498046875,11952.42825587085,15143.67135350415
05-07-06,15450.0,15450.0,13537.228515625,11920.866727274293,15153.590303975707
05-07-07,15350.0,15350.0,13625.13671875,12017.072868688958,15233.200568811042
05-07-08,15300.0,15300.0,13743.63720703125,12189.417044540449,15297.857369522051
05-07-11,15650.0,15650.0,13761.48095703125,12222.233440072681,15300.728473989819
05-07-12,16300.0,16300.0,13679.5556640625,12094.16874555155,15264.94258257345
05-07-13,16000.0,16000.0,13650.3193359375,12027.119751680706,15273.518920194294
05-07-14,15800.0,15800.0,13727.865234375,12121.405773390932,15334.324695359068
05-07-15,15500.0,15500.0,13793.52587890625,12244.761128245851,15342.290629566649
05-07-18,15850.0,15850.0,13785.65234375,12241.568006172834,15329.736681327166
05-07-19,15600.0,15600.0,13794.5439453125,12221.009768266309,15368.078122358691
05-07-20,15800.0,15800.0,13890.82666015625,12318.264982370745,15463.388337941755
05-07-21,16600.0,16600.0,13963.62890625,12443.584690699829,15483.673121800171
05-07-22,16500.0,16500.0,13907.06103515625,12387.737777760232,15426.384292552268
05-07-25,16400.0,16400.0,13788.45947265625,12223.837583049914,15353.081362262586
05-07-26,16500.0,16500.0,13743.2685546875,12140.328761956245,15346.208347418755
05-07-27,16650.0,16650.0,13841.83203125,12243.136037232955,15440.528025267045
05-07-28,16800.0,16800.0,13969.572265625,12431.224434810392,15507.920096439608
05-07-29,16400.0,16400.0,13979.16064453125,12460.57671226736,15497.74457679514
05-08-01,16250.0,16250.0,13894.86181640625,12348.073558647724,15441.650074164776
05-08-02,17000.0,17000.0,13832.58984375,12257.743122425753,15407.436565074247
05-08-03,17000.0,17000.0,13839.81689453125,12273.546294497055,15406.087494565445
05-08-04,17650.0,17650.0,13850.7177734375,12322.302651577238,15379.132895297762
05-08-05,17100.0,17100.0,13767.39990234375,12230.48594999615,15304.31385469135
05-08-08,16700.0,16700.0,13664.08056640625,12075.611278907549,15252.549853904951
05-08-09,17200.0,17200.0,13641.63232421875,12023.078330287317,15260.186318150183
05-08-10,17500.0,17500.0,13735.2578125,12113.539428657647,15356.976196342353
05-08-11,18050.0,18050.0,13884.7529296875,12315.9871048321,15453.5187545429
05-08-12,17900.0,17900.0,13987.8193359375,12447.059784941976,15528.578886933024
05-08-16,17450.0,17450.0,14056.7158203125,12514.698126628988,15598.733513996012
05-08-17,17200.0,17200.0,14175.7998046875,12638.258812232412,15713.340797142588
05-08-18,17100.0,17100.0,14372.68994140625,12875.174422508942,15870.205460303558
05-08-19,17150.0,17150.0,14538.7470703125,13108.621715277448,15968.872425347552
05-08-22,17950.0,17950.0,14613.9384765625,13189.146503432163,16038.730449692837
05-08-23,17850.0,17850.0,14676.158203125,13229.109927793146,16123.206478456854
05-08-24,17100.0,17100.0,14770.18505859375,13335.208871807825,16205.161245379675
05-08-25,17050.0,17050.0,14913.50244140625,13518.44784253745,16308.55704027505
05-08-26,16250.0,16250.0,15002.66943359375,13665.595037120987,16339.743830066513
05-08-29,15700.0,15700.0,14937.0634765625,13595.66571918339,16278.46123394161
05-08-30,16200.0,16200.0,14798.1396484375,13408.814232144045,16187.465064730955
05-08-31,16250.0,16250.0,14799.30859375,13366.32185372866,16232.29533377134
05-09-01,16550.0,16550.0,15017.59521484375,13611.228961907593,16423.961467779907
05-09-02,16750.0,16750.0,15289.90234375,13974.328693248968,16605.47599425103
05-09-05,17050.0,17050.0,15404.7197265625,14128.88837253938,16680.55108058562
05-09-06,16900.0,16900.0,15402.740234375,14104.252333236453,16701.22813551355
05-09-07,17150.0,17150.0,15440.87158203125,14126.032611018609,16755.710553043893
05-09-08,17000.0,17000.0,15594.017578125,14312.572556094565,16875.462600155435
05-09-09,16400.0,16400.0,15683.57763671875,14465.035417553077,16902.119855884423
05-09-12,15900.0,15900.0,15660.6240234375,14427.783794692601,16893.4642521824
05-09-13,15900.0,15900.0,15661.09765625,14388.721418706007,16933.473893793995
05-09-14,16600.0,16600.0,15865.64794921875,14594.05004732272,17137.245851114778
05-09-15,16950.0,16950.0,16251.09912109375,15055.753004078913,17446.445238108587
05-09-16,16750.0,16750.0,16478.9912109375,15400.806516930039,17557.17590494496
05-09-20,17000.0,17000.0,16411.44140625,15323.138248683812,17499.744563816188
05-09-21,17900.0,17900.0,16278.0390625,15117.668911209708,17438.40921379029
05-09-22,17650.0,17650.0,16346.40380859375,15160.919112656904,17531.888504530594
05-09-23,17200.0,17200.0,16654.1201171875,15527.738738745513,17780.501495629487
05-09-26,17700.0,17700.0,16972.1083984375,15951.418215244823,17992.798581630177
05-09-27,17250.0,17250.0,17052.9345703125,16069.147981773815,18036.721158851185
05-09-28,17700.0,17700.0,16990.3583984375,15975.602229047527,18005.114567827473
05-09-29,17900.0,17900.0,16917.4248046875,15890.579887500247,17944.269721874753
