,close
14-10-21,35300.0
14-10-22,35100.0
14-10-23,35150.0
14-10-24,35000.0
14-10-27,35000.0
14-10-28,34350.0
14-10-29,35550.0
14-10-30,34650.0
14-10-31,35000.0
14-11-03,34700.0
14-11-04,34850.0
14-11-05,35200.0
14-11-06,34500.0
14-11-07,33250.0
14-11-10,34600.0
14-11-11,34650.0
14-11-12,34350.0
14-11-13,34650.0
14-11-14,34150.0
14-11-17,33600.0
14-11-18,33800.0
14-11-19,33400.0
14-11-20,33650.0
14-11-21,33300.0
14-11-24,33150.0
14-11-25,33850.0
14-11-26,33500.0
14-11-27,33200.0
14-11-28,32700.0
14-12-01,32550.0
14-12-02,32100.0
14-12-03,33050.0
14-12-04,32250.0
14-12-05,32700.0
14-12-08,32100.0
14-12-09,31950.0
14-12-10,31750.0
14-12-11,30950.0
14-12-12,31200.0
14-12-15,31300.0
14-12-16,31300.0
14-12-17,31400.0
14-12-18,31300.0
14-12-19,31050.0
14-12-22,31650.0
14-12-23,31700.0
14-12-24,32200.0
14-12-26,32700.0
14-12-29,30900.0
14-12-30,30400.0
15-01-02,30300.0
15-01-05,30100.0
15-01-06,30250.0
15-01-07,30600.0
15-01-08,30750.0
15-01-09,31550.0
15-01-12,31150.0
15-01-13,30850.0
15-01-14,30600.0
15-01-15,30850.0
15-01-16,30300.0
15-01-19,30200.0
15-01-20,31900.0
15-01-21,32300.0
15-01-22,32250.0
15-01-23,32500.0
15-01-26,32650.0
15-01-27,32900.0
15-01-28,33000.0
15-01-29,33000.0
15-01-30,32400.0
15-02-02,32600.0
15-02-03,32350.0
15-02-04,33200.0
15-02-05,33650.0
15-02-06,33600.0
15-02-09,32800.0
15-02-10,32950.0
15-02-11,32950.0
15-02-12,33200.0
15-02-13,32850.0
15-02-16,33600.0
15-02-17,33950.0
15-02-23,33300.0
15-02-24,33750.0
15-02-25,34200.0
15-02-26,33700.0
15-02-27,34000.0
15-03-02,32950.0
15-03-03,34150.0
15-03-04,34000.0
15-03-05,34100.0
15-03-06,33800.0
15-03-09,33100.0
15-03-10,33550.0
15-03-11,33050.0
15-03-12,32700.0
15-03-13,33300.0
15-03-16,33500.0
15-03-17,33500.0
15-03-18,33800.0
15-03-19,33500.0
15-03-20,34250.0
15-03-23,33600.0
15-03-24,34300.0
15-03-25,34300.0
15-03-26,34800.0
15-03-27,34200.0
15-03-30,34350.0
15-03-31,34650.0
15-04-01,34750.0
15-04-02,34600.0
15-04-03,35400.0
15-04-06,35000.0
15-04-07,35950.0
15-04-08,35450.0
15-04-09,36200.0
15-04-10,36650.0
15-04-13,36400.0
15-04-14,36350.0
15-04-15,36350.0
15-04-16,37450.0
15-04-17,37950.0
15-04-20,37750.0
15-04-21,37900.0
15-04-22,37550.0
15-04-23,37500.0
15-04-24,38200.0
15-04-27,38500.0
15-04-28,38000.0
15-04-29,37700.0
15-04-30,36650.0
15-05-04,38050.0
15-05-06,37750.0
15-05-07,37300.0
15-05-08,36800.0
15-05-11,37300.0
15-05-12,37700.0
15-05-13,37500.0
15-05-14,38250.0
15-05-15,39000.0
15-05-18,39500.0
15-05-19,40000.0
15-05-20,40000.0
15-05-21,40000.0
15-05-22,40400.0
15-05-26,41300.0
15-05-27,40300.0
15-05-28,39400.0
15-05-29,40300.0
