,real,target,preds,lower,upper
11-07-29,29950.0,29950.0,24682.6923828125,23444.850917801312,25920.533847823688
11-08-01,30250.0,30250.0,24671.6630859375,23444.252609122555,25899.073562752445
11-08-02,29700.0,29700.0,24664.6806640625,23465.408507609798,25863.952820515202
11-08-03,28300.0,28300.0,24715.3125,23542.073228563168,25888.551771436832
11-08-04,29300.0,29300.0,24712.787109375,23523.8779401387,25901.6962786113
11-08-05,27850.0,27850.0,24651.111328125,23430.7165729302,25871.5060833198
11-08-08,27000.0,27000.0,24616.080078125,23407.55124381313,25824.60891243687
11-08-09,25000.0,25000.0,24684.181640625,23525.48923109419,25842.87405015581
11-08-10,24950.0,24950.0,24917.7861328125,23785.04425625848,26050.52800936652
11-08-11,25000.0,25000.0,25129.080078125,23933.82120192437,26324.33895432563
11-08-12,26600.0,26600.0,25260.3623046875,23973.13102215712,26547.59358721788
11-08-16,27500.0,27500.0,25335.4482421875,24004.04535407333,26666.85113030167
11-08-17,28650.0,28650.0,25407.9375,24093.06991964069,26722.80508035931
11-08-18,29100.0,29100.0,25506.8662109375,24214.596555221855,26799.135866653145
11-08-19,29450.0,29450.0,25566.98046875,24257.04799768825,26876.91293981175
11-08-22,29000.0,29000.0,25586.7373046875,24242.888764282052,26930.585845092948
11-08-23,27450.0,27450.0,25611.1640625,24263.417845917716,26958.910279082284
11-08-24,27450.0,27450.0,25691.1025390625,24370.869016270655,27011.336061854345
11-08-25,26050.0,26050.0,25815.1552734375,24507.611387264344,27122.699159610656
11-08-26,26500.0,26500.0,25855.0888671875,24497.395452072833,27212.782282302167
11-08-29,27350.0,27350.0,25828.580078125,24421.980584421144,27235.179571828856
11-08-30,27350.0,27350.0,25799.0087890625,24398.445896206696,27199.571681918304
11-08-31,27900.0,27900.0,25833.2607421875,24479.4292605563,27187.0922238187
11-09-01,26800.0,26800.0,25926.576171875,24601.54386437209,27251.60847937791
11-09-02,27250.0,27250.0,25945.255859375,24576.988846140724,27313.522872609276
11-09-05,27600.0,27600.0,25883.2685546875,24462.385531953296,27304.151577421704
11-09-06,27850.0,27850.0,25798.0322265625,24378.728496588836,27217.335956536164
11-09-07,29900.0,29900.0,25748.421875,24375.086777273915,27121.756972726085
11-09-08,30000.0,30000.0,25751.8076171875,24418.515319821916,27085.099914553084
11-09-09,28850.0,28850.0,25779.33203125,24429.885933617075,27128.778128882925
11-09-14,27650.0,27650.0,25811.2861328125,24418.37203398345,27204.20023164155
11-09-15,28050.0,28050.0,25818.5712890625,24394.014331812334,27243.128246312666
11-09-16,28600.0,28600.0,25829.5419921875,24407.596956019923,27251.487028355077
11-09-19,28000.0,28000.0,25843.84375,24431.386404771794,27256.301095228206
11-09-20,28200.0,28200.0,25724.0078125,24266.143814341554,27181.871810658446
11-09-21,28250.0,28250.0,25415.0908203125,23892.89029219136,26937.29134843364
11-09-22,27800.0,27800.0,25018.0224609375,23508.080227482747,26527.964694392253
11-09-23,26650.0,26650.0,24646.1845703125,23233.03454234113,26059.33459828387
11-09-26,27000.0,27000.0,24465.439453125,23187.07886203678,25743.80004421322
11-09-27,27900.0,27900.0,24446.0634765625,23250.433408098255,25641.693545026745
11-09-28,27050.0,27050.0,24565.2958984375,23386.364743793823,25744.227053081177
11-09-29,27200.0,27200.0,24807.9365234375,23626.195742214546,25989.677304660454
11-09-30,27300.0,27300.0,25083.580078125,23881.068865674075,26286.091290575925
11-10-04,26800.0,26800.0,25234.140625,23960.952004407045,26507.329245592955
11-10-05,26700.0,26700.0,25231.484375,23882.464546429666,26580.504203570334
11-10-06,26900.0,26900.0,25133.5703125,23763.16696733327,26503.97365766673
11-10-07,26300.0,26300.0,25004.892578125,23665.913100832087,26343.872055417913
11-10-10,26950.0,26950.0,24884.1484375,23585.626301732795,26182.670573267205
11-10-11,26800.0,26800.0,24721.548828125,23431.248164752153,26011.849491497847
11-10-12,26400.0,26400.0,24562.73828125,23278.67433721144,25846.80222528856
11-10-13,26450.0,26450.0,24473.353515625,23229.27475446998,25717.43227678002
11-10-14,26450.0,26450.0,24565.4443359375,23377.439502581918,25753.449169293082
11-10-17,26700.0,26700.0,24789.982421875,23613.60941382136,25966.35542992864
11-10-18,26900.0,26900.0,24960.3271484375,23713.885792075303,26206.768504799697
11-10-19,27900.0,27900.0,25049.916015625,23722.39576521083,26377.43626603917
11-10-20,28450.0,28450.0,25154.7392578125,23817.760018891157,26491.718496733843
11-10-21,28750.0,28750.0,25359.43359375,24068.46360659663,26650.40358090337
11-10-24,28850.0,28850.0,25608.6357421875,24327.2286288335,26890.0428555415
11-10-25,27950.0,27950.0,25775.001953125,24427.666923758235,27122.336982491765
11-10-26,29000.0,29000.0,25857.4130859375,24440.108518495756,27274.717653379244
11-10-27,28700.0,28700.0,25895.943359375,24452.383813033463,27339.502905716537
11-10-28,28900.0,28900.0,25817.7802734375,24340.672336994452,27294.888209880548
11-10-31,29800.0,29800.0,25661.158203125,24161.042009418885,27161.274396831115
11-11-01,28900.0,28900.0,25504.0048828125,24033.7610382617,26974.2487273633
11-11-02,28700.0,28700.0,25401.9013671875,23997.66737693738,26806.13535743762
11-11-03,29500.0,29500.0,25333.16796875,23970.854616729437,26695.481320770563
11-11-04,30050.0,30050.0,25182.9931640625,23801.068936591073,26564.917391533927
11-11-07,30050.0,30050.0,25014.4775390625,23622.913140941255,26406.041937183745
11-11-08,30450.0,30450.0,24894.1630859375,23544.556457073177,26243.769714801823
11-11-09,30550.0,30550.0,24841.6181640625,23552.862530770864,26130.373797354136
11-11-10,29450.0,29450.0,24853.4345703125,23601.16274476115,26105.70639586385
11-11-11,29750.0,29750.0,24852.208984375,23571.409965508945,26133.008003241055
11-11-14,29600.0,29600.0,24869.703125,23546.60926661566,26192.79698338434
11-11-15,29900.0,29900.0,24964.181640625,23639.871090686946,26288.492190563054
11-11-16,29500.0,29500.0,25105.0576171875,23788.774821502255,26421.340412872745
11-11-17,29550.0,29550.0,25142.5009765625,23778.60469817639,26506.39725494861
11-11-18,28100.0,28100.0,25096.357421875,23682.093040040425,26510.621803709575
11-11-21,27150.0,27150.0,25021.5947265625,23610.08362773508,26433.10582538992
11-11-22,27800.0,27800.0,24992.0341796875,23629.70577751965,26354.36258185535
11-11-23,27500.0,27500.0,25017.5712890625,23695.540277784527,26339.602300340473
11-11-24,27550.0,27550.0,24987.716796875,23647.27873197536,26328.15486177464
11-11-25,27550.0,27550.0,24904.9052734375,23531.48762469299,26278.32292218201
11-11-28,27100.0,27100.0,24859.8203125,23504.719122139566,26214.921502860434
11-11-29,27650.0,27650.0,24953.86328125,23666.570968162716,26241.155594337284
11-11-30,27650.0,27650.0,25168.2451171875,23923.744159702463,26412.746074672537
11-12-01,28300.0,28300.0,25319.166015625,24023.097225449215,26615.234805800785
11-12-02,28200.0,28200.0,25361.9638671875,23985.54895144168,26738.37878293332
11-12-05,27900.0,27900.0,25349.029296875,23947.314379878007,26750.744213871993
11-12-06,28000.0,28000.0,25374.8134765625,24010.453429100893,26739.173524024107
11-12-07,28050.0,28050.0,25455.4287109375,24127.211913217674,26783.645508657326
11-12-08,28400.0,28400.0,25483.517578125,24129.684882560698,26837.350273689302
11-12-09,28000.0,28000.0,25542.2900390625,24152.57627658103,26932.00380154397
11-12-12,28950.0,28950.0,25638.1611328125,24235.530200670037,27040.792064954963
11-12-13,28550.0,28550.0,25782.4697265625,24385.70657967368,27179.23287345132
11-12-14,29250.0,29250.0,25973.2275390625,24578.582878955014,27367.872199169986
11-12-15,28500.0,28500.0,26097.044921875,24654.093232220213,27539.996611529787
11-12-16,28200.0,28200.0,26161.998046875,24666.893538019278,27657.102555730722
11-12-19,27100.0,27100.0,26210.05859375,24706.465540864083,27713.651646635917
11-12-20,27850.0,27850.0,26262.1669921875,24776.33457449872,27747.99940987628
11-12-21,27900.0,27900.0,26323.2431640625,24845.25591095864,27801.23041716636
11-12-22,27900.0,27900.0,26311.94921875,24796.027938748284,27827.870498751716
11-12-23,28150.0,28150.0,26243.5537109375,24689.54685101549,27797.56057085951
11-12-26,28350.0,28350.0,26171.5078125,24626.763927361488,27716.251697638512
11-12-27,28300.0,28300.0,26131.5146484375,24627.345283999763,27635.684012875237
11-12-28,27200.0,27200.0,26111.09765625,24629.810340732238,27592.384971767762
11-12-29,27200.0,27200.0,25984.3603515625,24459.336044459422,27509.384658665578
12-01-02,28100.0,28100.0,25770.5859375,24204.44904574846,27336.72282925154
12-01-03,28400.0,28400.0,25544.0634765625,24002.271456602826,27085.855496522174
12-01-04,27900.0,27900.0,25393.865234375,23932.68037258834,26855.05009616166
12-01-05,27250.0,27250.0,25343.755859375,23954.462023344542,26733.049695405458
12-01-06,26700.0,26700.0,25270.0029296875,23879.18809734903,26660.81776202597
12-01-09,25900.0,25900.0,25159.4130859375,23740.964445584174,26577.861726290826
12-01-10,25900.0,25900.0,25071.556640625,23668.253000902212,26474.860280347788
12-01-11,25350.0,25350.0,25148.86328125,23807.021986247313,26490.704576252687
12-01-12,25800.0,25800.0,25373.8046875,24068.22101480122,26679.38836019878
12-01-13,26450.0,26450.0,25546.5302734375,24178.19595490105,26914.86459197395
12-01-16,26400.0,26400.0,25623.576171875,24163.856010626016,27083.296333123984
12-01-17,26600.0,26600.0,25654.2080078125,24161.557762467328,27146.858253157672
12-01-18,25900.0,25900.0,25712.53125,24249.842737496347,27175.219762503653
12-01-19,25900.0,25900.0,25805.4736328125,24370.61431261412,27240.33295301088
12-01-20,26300.0,26300.0,25835.939453125,24370.714639276335,27301.164266973665
12-01-25,26150.0,26150.0,25816.1015625,24310.130879423716,27322.072245576284
12-01-26,26450.0,26450.0,25801.8017578125,24300.738168790096,27302.865346834904
12-01-27,26250.0,26250.0,25835.0625,24373.4165474159,27296.7084525841
12-01-30,26200.0,26200.0,25905.2080078125,24465.438707642683,27344.977307982317
12-01-31,26350.0,26350.0,25862.982421875,24369.75543179365,27356.20941195635
12-02-01,26650.0,26650.0,25727.8251953125,24179.319813908805,27276.330576716195
12-02-02,26700.0,26700.0,25598.6025390625,24068.531543231373,27128.673534893627
12-02-03,26850.0,26850.0,25537.345703125,24074.661754349225,27000.029651900775
12-02-06,27500.0,27500.0,25563.390625,24154.802905393866,26971.978344606134
12-02-07,28450.0,28450.0,25562.375,24138.84151748172,26985.90848251828
12-02-08,27700.0,27700.0,25521.9912109375,24061.778857835583,26982.203564039417
12-02-09,27400.0,27400.0,25444.18359375,23973.499021307456,26914.868166192544
12-02-10,26750.0,26750.0,25374.04296875,23930.241819319126,26817.844118180874
12-02-13,27400.0,27400.0,25351.373046875,23928.8419716333,26773.9041221167
12-02-14,27600.0,27600.0,25373.0146484375,23950.196058277626,26795.833238597374
12-02-15,27350.0,27350.0,25443.2939453125,24026.111744724065,26860.476145900935
12-02-16,27600.0,27600.0,25536.8828125,24129.999859906755,26943.765765093245
12-02-17,27550.0,27550.0,25615.423828125,24199.791200244996,27031.056456005004
12-02-20,27400.0,27400.0,25545.205078125,24067.943376097974,27022.466780152026
12-02-21,27150.0,27150.0,25349.25390625,23820.645482439406,26877.862330060594
12-02-22,27000.0,27000.0,25107.9189453125,23595.963048127767,26619.874842497233
12-02-23,27100.0,27100.0,24928.5,23495.687360950782,26361.312639049218
12-02-24,26600.0,26600.0,24877.640625,23530.036476112866,26225.244773887134
12-02-27,26200.0,26200.0,24822.8759765625,23486.789352130003,26158.962600994997
12-02-28,26100.0,26100.0,24757.5732421875,23396.741060710345,26118.405423664655
12-02-29,25800.0,25800.0,24696.2685546875,23336.88422739083,26055.65288198417
12-03-02,25500.0,25500.0,24685.8544921875,23363.410085979256,26008.298898395744
12-03-05,25350.0,25350.0,24746.76953125,23458.53758707709,26035.00147542291
12-03-06,24450.0,24450.0,24820.775390625,23527.36839296058,26114.18238828942
12-03-07,25100.0,25100.0,24898.1845703125,23579.643552973328,26216.725587651672
12-03-08,24650.0,24650.0,24971.7890625,23633.385820381736,26310.192304618264
12-03-09,24400.0,24400.0,24922.9052734375,23542.645776930884,26303.164769944116
12-03-12,25000.0,25000.0,24785.1279296875,23374.223057126554,26196.032802248446
12-03-13,25300.0,25300.0,24730.4013671875,23348.434175244613,26112.368559130387
12-03-14,25050.0,25050.0,24817.1455078125,23500.350571870207,26133.940443754793
12-03-15,25050.0,25050.0,25001.0615234375,23715.87180688349,26286.25123999151
12-03-16,24750.0,24750.0,25116.24609375,23784.634771653262,26447.857415846738
12-03-19,25400.0,25400.0,25172.7119140625,23786.64588848068,26558.77793964432
12-03-20,25300.0,25300.0,25227.486328125,23839.324550054273,26615.648106195727
12-03-21,24800.0,24800.0,25300.94140625,23940.271523089472,26661.611289410528
12-03-22,24600.0,24600.0,25380.5263671875,24028.93792183664,26732.11481253836
12-03-23,24900.0,24900.0,25356.78125,23961.767675696225,26751.794824303775
12-03-26,24800.0,24800.0,25261.462890625,23826.2023373957,26696.7234438543
12-03-27,25400.0,25400.0,25175.458984375,23755.893058905876,26595.024909844124
12-03-28,25500.0,25500.0,25160.5390625,23796.269743150202,26524.808381849798
12-03-29,24800.0,24800.0,25228.3212890625,23904.348068449737,26552.294509675263
12-03-30,25150.0,25150.0,25232.2412109375,23878.245861126605,26586.236560748395
12-04-02,24900.0,24900.0,25158.09375,23754.34101308996,26561.84648691004
